,ItemType,DisplayName,Icon,WorldMesh,MaxStack,PickupActorClass
110001,Weapon,나무 몽둥이,,,1,
110002,Weapon,나무 단검,,,1,
110003,Weapon,나무 검,,,1,
110004,Weapon,돌 몽둥이,,,1,
110005,Weapon,돌 단검,,,1,
110006,Weapon,돌 검,,,1,
110007,Weapon,청동 메이스,,,1,
110008,Weapon,청동 단검,,,1,
110009,Weapon,청동 검,,,1,
110010,Weapon,아이언 메이스,,,1,
110011,Weapon,아이언 대거,,,1,
110012,Weapon,아이언 소드,,,1,
120001,Weapon,나무 활,,,1,
120002,Weapon,새총,,,1,
120003,Weapon,브론즈 피스톨,,,1,
120004,Weapon,기관총,,,1,
200001,Tool,나무 도끼,,,1,
200002,Tool,나무 곡괭이,,,1,
200003,Tool,돌 도끼,,,1,
200004,Tool,돌 곡괭이,,,1,
200005,Tool,청동 도끼,,,1,
200006,Tool,청동 곡괭이,,,1,
300001,Material,나무,,,99,
300002,Material,돌,,,50,
300003,Material,가문비나무,,,50,
300004,Material,청동 광석,,,50,
300005,Material,야자 나무,,,50,
300006,Material,철광석,,,50,
300007,Material,화약,,,100,
300008,Material,허브,,,99,
300009,Material,레드베리,,,99,
300010,Material,블루베리,,,99,
400001,Ammo,화살,,,30,
400002,Ammo,불릿,,,50,
400003,Ammo,탄약,,,200,
501001,Building,나무 토대,,,99,
501002,Building,나무 벽,,,99,
501003,Building,나무 지붕,,,99,
501004,Building,나무 문,,,99,
501005,Building,보관상자,,,99,
502001,Building,돌 토대,,,99,
502002,Building,돌 벽,,,99,
502003,Building,돌 지붕,,,99,
502004,Building,돌 문,,,99,
502005,Building,작업대,,,1,
600001,Consumable,최하급 체력회복물약,,,10,
600002,Consumable,최하급 마나회복물약,,,10,
600003,Consumable,하급 체력회복물약,,,10,
600004,Consumable,하급 마나회복물약,,,10,
600005,Consumable,중급 체력회복물약,,,10,
600006,Consumable,중급 마나회복물약,,,10,
