,RecipeID,MaterialItemID,Count
900001_1,900001,300001,5
900002_1,900002,300001,2
900003_1,900003,300001,3
900004_1,900004,300001,2
900004_2,900004,300002,5
900005_1,900005,300001,2
900005_2,900005,300002,2
900006_1,900006,300001,2
900006_2,900006,300002,3
900007_1,900007,300003,2
900007_2,900007,300002,1
900007_3,900007,300004,5
900008_1,900008,300003,2
900008_2,900008,300004,2
900009_1,900009,300001,1
900009_2,900009,300003,1
900009_3,900009,300004,3
900010_1,900010,300003,1
900010_2,900010,300005,2
900010_3,900010,300006,5
900011_1,900011,300005,2
900011_2,900011,300006,2
900012_1,900012,300003,1
900012_2,900012,300005,2
900012_3,900012,300006,3
900013_1,900013,300001,3
900014_1,900014,300001,2
900014_2,900014,300002,2
900015_1,900015,300005,2
900015_2,900015,300003,2
900015_3,900015,300004,4
900016_1,900016,300004,5
900016_2,900016,300006,10
900016_3,900016,300005,2
900017_1,900017,300001,3
900018_1,900018,300001,5
900019_1,900019,300001,3
900019_2,900019,300002,3
900020_1,900020,300001,2
900020_2,900020,300002,5
900021_1,900021,300001,1
900021_2,900021,300003,2
900021_3,900021,300004,3
900022_1,900022,300001,1
900022_2,900022,300003,2
900022_3,900022,300004,5
900023_1,900023,300001,1
900023_2,900023,300002,1
900024_1,900024,300004,1
900024_2,900024,300007,1
900025_1,900025,300005,2
900025_2,900025,300006,3
900025_3,900025,300007,4
900026_1,900026,300001,20
900027_1,900027,300001,20
900028_1,900028,300001,20
900029_1,900029,300001,10
900030_1,900030,300001,10
900031_1,900031,300002,20
900032_1,900032,300002,20
900033_1,900033,300002,20
900034_1,900034,300002,10
900035_1,900035,300008,2
900035_2,900035,300009,4
900036_1,900036,300008,2
900036_2,900036,300010,4
900037_1,900037,300001,20
900037_2,900037,300002,20
